State,Year,Population,Density
Western Australia,2011,2353409,0.9313
Tasmania,2011,511483,7.4777
Northern Territory,2011,231292,0.1716
Australian Capital Territory,2011,367985,156.0581
New South Wales,2012,7304244,9.1211
Victoria,2012,5651091,24.8461
Queensland,2012,4568687,2.6451
South Australia,2012,1656725,1.6832
Western Australia,2012,2425507,0.9598
Tasmania,2012,511724,7.4812
Northern Territory,2012,235915,0.175
Australian Capital Territory,2012,376539,159.6858
New South Wales,2013,7404032,9.2457
Victoria,2013,5772669,25.3806
Queensland,2013,4652824,2.6939
South Australia,2013,1671488,1.6982
Western Australia,2013,2486944,0.9841
Tasmania,2013,512231,7.4886
Northern Territory,2013,241722,0.1793
Australian Capital Territory,2013,383257,162.5348
New South Wales,2014,7508353,9.3759
Victoria,2014,5894917,25.9181
Queensland,2014,4719653,2.7325
South Australia,2014,1686945,1.714
Western Australia,2014,2517608,0.9963
Tasmania,2014,513621,7.509
Northern Territory,2014,242894,0.1802
Australian Capital Territory,2014,388799,164.8851
New South Wales,2015,7616168,9.5106
Victoria,2015,6022322,26.4783
Queensland,2015,4777692,2.7661
South Australia,2015,1700668,1.7279
Western Australia,2015,2540672,1.0054
Tasmania,2015,515117,7.5308
Northern Territory,2015,244692,0.1816
Australian Capital Territory,2015,395813,167.8596
New South Wales,2016,7732858,9.6563
Victoria,2016,6173172,27.1415
Queensland,2016,4845152,2.8052
South Australia,2016,1712843,1.7403
Western Australia,2016,2555978,1.0115
Tasmania,2016,517514,7.5659
Northern Territory,2016,245678,0.1823
Australian Capital Territory,2016,403104,170.9517
New South Wales,2017,7855316,9.8092
Victoria,2017,6302608,27.7106
Queensland,2017,4926380,2.8522
South Australia,2017,1728673,1.7563
Western Australia,2017,2585720,1.0232
Tasmania,2017,526762,7.7011
Northern Territory,2017,247412,0.1836
Australian Capital Territory,2017,415046,176.0161
New South Wales,2018,7954476,9.933
Victoria,2018,6423038,28.2401
Queensland,2018,5006623,2.8987
South Australia,2018,1746137,1.7741
Western Australia,2018,2617792,1.0359
Tasmania,2018,537291,7.855
Northern Territory,2018,247095,0.1833
Australian Capital Territory,2018,426081,180.6959
New South Wales,2019,8046748,10.0482
Victoria,2019,6537305,28.7425
Queensland,2019,5088847,2.9463
South Australia,2019,1767395,1.7957
Western Australia,2019,2659625,1.0525
Tasmania,2019,547841,8.0093
Northern Territory,2019,246559,0.1829
Australian Capital Territory,2019,435730,184.788
New South Wales,2020,8110610,10.128
Victoria,2020,6615046,29.0843
Queensland,2020,5165613,2.9907
South Australia,2020,1790355,1.819
Western Australia,2020,2712912,1.0736
Tasmania,2020,557578,8.1516
Northern Territory,2020,247428,0.1836
Australian Capital Territory,2020,444903,188.6781
New South Wales,2021,8097062,10.1111
Victoria,2021,6547822,28.7887
Queensland,2021,5215814,3.0198
South Australia,2021,1802601,1.8315
Western Australia,2021,2749365,1.088
Tasmania,2021,567239,8.2928
Northern Territory,2021,248151,0.1841
Australian Capital Territory,2021,452508,191.9033
New South Wales,2022,8182098,10.2173
Victoria,2022,6615232,29.0851
Queensland,2022,5310905,3.0749
South Australia,2022,1824969,1.8542
Western Australia,2022,2793934,1.1056
Tasmania,2022,572300,8.3668
Northern Territory,2022,253100,0.1878
Australian Capital Territory,2022,461262,195.6158
New South Wales,2023,8356387,10.4349
Victoria,2023,6797169,29.885
Queensland,2023,5450235,3.1555
South Australia,2023,1857646,1.8874
Western Australia,2023,2890936,1.144
Tasmania,2023,573731,8.3878
Northern Territory,2023,257508,0.1911
Australian Capital Territory,2023,471340,199.8897
New South Wales,2024,8492050,10.6043
Victoria,2024,6950961,30.5612
Queensland,2024,5571890,3.226
South Australia,2024,1882164,1.9123
Western Australia,2024,2978147,1.1785
Tasmania,2024,574765,8.4029
Northern Territory,2024,260884,0.1936
Australian Capital Territory,2024,478430,202.8965
New South Wales,2025,8592524,10.7298
Victoria,2025,7073859,31.1015
Queensland,2025,5669764,3.2826
South Australia,2025,1902665,1.9331
Western Australia,2025,3044382,1.2047
Tasmania,2025,576261,8.4247
Northern Territory,2025,264556,0.1963
Australian Capital Territory,2025,484630,205.5259
